Caching material files...
DDS only:291: models/darkmod/props/textures/cheapbeermug_local
DDS only:292: models/darkmod/props/textures/cheapbeermug_s
DDS only:303: models/darkmod/props/textures/cheapbeermug_d
DDS only:316: models/darkmod/props/textures/anvil_d
DDS only:317: models/darkmod/props/textures/cookpot_s
DDS only:328: models/darkmod/props/textures/anvil_d
DDS only:339: models/darkmod/props/textures/goblet2_d
DDS only:340: models/darkmod/props/textures/goblet2_s
DDS only:351: models/darkmod/props/textures/goblet2_d

materials/kitchen.mtr
Missing:359: models/renderbump/smspoon_ornamental_local
DDS only:369: models/darkmod/props/textures/cutlery_ornamental
DDS only:373: models/darkmod/props/textures/cutlery_ornamental_local
DDS only:374: models/darkmod/props/textures/cutlery_ornamental_s
DDS only:385: models/darkmod/props/textures/cutlery_ornamental
DDS only:397: models/darkmod/props/textures/jam1_d
DDS only:398: models/darkmod/props/textures/jam_s
DDS only:409: models/darkmod/props/textures/jam1_d
DDS only:425: models/darkmod/props/textures/cake_d
DDS only:426: models/darkmod/props/textures/cake_local
DDS only:427: models/darkmod/props/textures/cake_s
DDS only:438: models/darkmod/props/textures/cake_d
DDS only:450: models/darkmod/props/textures/muffin_d
DDS only:451: models/darkmod/props/textures/muffin_local
DDS only:463: models/darkmod/props/textures/muffin_d

materials/tdm_gen_ceramic.mtr
Missing:8: textures/darkmod/ceramic/gen/ceramic_001_d
Missing:9: textures/darkmod/ceramic/gen/ceramic_001_d
Missing:10: textures/darkmod/ceramic/gen/ceramic_001_local
Missing:11: textures/darkmod/ceramic/gen/ceramic_001_s
Missing:21: textures/darkmod/ceramic/gen/ceramic_001_d
Missing:30: textures/darkmod/ceramic/gen/ceramic_002_d
Missing:31: textures/darkmod/ceramic/gen/ceramic_002_d
Missing:32: textures/darkmod/ceramic/gen/ceramic_002_local
Missing:33: textures/darkmod/ceramic/gen/ceramic_002_s
Missing:43: textures/darkmod/ceramic/gen/ceramic_002_d
DDS only:9: textures/darkmod/sky/starry1/clouds2
DDS only:15: textures/darkmod/sky/starry1/clouds2

materials/tdm_city_clouds.mtr
Missing:20: textures/darkmod/sky/starry1/clouds2,8)

materials/light_textures.mtr
Missing:71: textures/lights/brightround )
DDS only:74: textures/lights/brightround
DDS only:97: textures/lights/brightround
DDS only:100: textures/lights/brightround
DDS only:108: textures/lights/doubleround
DDS only:111: textures/lights/doubleround
DDS only:120: textures/lights/doubleround
DDS only:123: textures/lights/doubleround
DDS only:131: textures/lights/ambientLightnfo
DDS only:135: textures/lights/ambientLightnfo
DDS only:145: textures/lights/ambientLightnfo
DDS only:149: textures/lights/ambientLightnfo
DDS only:171: textures/lights/brightround
DDS only:174: textures/lights/paintinglight_01
Missing:182: textures/lights/brightround )
DDS only:185: textures/lights/tdm_lanternlight
DDS only:219: textures/lights/brightround
DDS only:9: textures/darkmod/stone/trim/border_8x1_ed

materials/tdm_stone_trim.mtr
DDS only:13: textures/darkmod/stone/floor/rough_009_d
DDS only:17: textures/darkmod/stone/trim/border_8x1_local
DDS only:28: textures/darkmod/stone/floor/rough_009_d
DDS only:39: textures/darkmod/stone/trim/border_4x1_ed
DDS only:43: textures/darkmod/stone/floor/rough_009_d
DDS only:47: textures/darkmod/stone/trim/border_4x1_local
DDS only:58: textures/darkmod/stone/floor/rough_009_d
DDS only:67: textures/darkmod/stone/trim/border_2x1_ed
DDS only:71: textures/darkmod/stone/floor/rough_009_d
DDS only:75: textures/darkmod/stone/trim/border_2x1_local
DDS only:86: textures/darkmod/stone/floor/rough_009_d
DDS only:95: textures/darkmod/stone/trim/border_1x1_ed
DDS only:96: textures/darkmod/stone/floor/rough_009_d
DDS only:97: textures/darkmod/stone/trim/border_1x1_local
DDS only:108: textures/darkmod/stone/floor/rough_009_d
DDS only:119: textures/darkmod/stone/trim/deco_001_ed
DDS only:120: textures/darkmod/stone/floor/rough_005_d
Missing:121: textures/darkmod/stone/trim/deco_001_local,
DDS only:132: textures/darkmod/stone/floor/rough_005_d
DDS only:143: textures/darkmod/stone/trim/deco_002_ed
DDS only:144: textures/darkmod/stone/floor/rough_005_d
Missing:145: textures/darkmod/stone/trim/deco_002_local,
DDS only:156: textures/darkmod/stone/floor/rough_005_d
DDS only:167: textures/darkmod/stone/trim/grave_001_ed
DDS only:168: textures/darkmod/stone/trim/grave_001_d
Missing:169: textures/darkmod/stone/trim/grave_001_local,
DDS only:180: textures/darkmod/stone/trim/grave_001_d
DDS only:191: textures/darkmod/stone/trim/grave_002_ed
DDS only:192: textures/darkmod/stone/trim/grave_001_d
Missing:193: textures/darkmod/stone/trim/grave_002_local,
DDS only:204: textures/darkmod/stone/trim/grave_001_d
DDS only:215: textures/darkmod/stone/trim/grave_003_ed
DDS only:216: textures/darkmod/stone/trim/grave_001_d
Missing:217: textures/darkmod/stone/trim/grave_003_local,
DDS only:228: textures/darkmod/stone/trim/grave_001_d
DDS only:239: textures/darkmod/stone/trim/grave_004_ed
DDS only:240: textures/darkmod/stone/trim/grave_001_d
Missing:241: textures/darkmod/stone/trim/grave_004_local,
DDS only:252: textures/darkmod/stone/trim/grave_001_d
DDS only:263: textures/darkmod/stone/trim/grave_005_ed
DDS only:264: textures/darkmod/stone/trim/grave_005_d
Missing:265: textures/darkmod/stone/trim/grave_005_local,
DDS only:276: textures/darkmod/stone/trim/grave_005_d
DDS only:287: textures/darkmod/stone/trim/grave_006_ed
DDS only:288: textures/darkmod/stone/trim/grave_005_d
Missing:289: textures/darkmod/stone/trim/grave_006_local,
DDS only:300: textures/darkmod/stone/trim/grave_005_d
DDS only:311: textures/darkmod/stone/trim/grave_007_ed
DDS only:312: textures/darkmod/stone/trim/grave_007_d
Missing:313: textures/darkmod/stone/trim/grave_007_local,
DDS only:324: textures/darkmod/stone/trim/grave_007_d
DDS only:335: textures/darkmod/stone/trim/grave_008_ed
DDS only:336: textures/darkmod/stone/trim/grave_008_d
Missing:337: textures/darkmod/stone/trim/grave_008_local,
DDS only:348: textures/darkmod/stone/trim/grave_008_d
DDS only:359: textures/darkmod/stone/trim/ornament_001_ed
DDS only:360: textures/darkmod/stone/trim/ornament_001_d
Missing:361: textures/darkmod/stone/trim/ornament_001_local,
DDS only:372: textures/darkmod/stone/trim/ornament_001_d
DDS only:383: textures/darkmod/stone/trim/ornament_002_ed
DDS only:384: textures/darkmod/stone/trim/ornament_002_d
Missing:385: textures/darkmod/stone/trim/ornament_001_local,
DDS only:396: textures/darkmod/stone/trim/ornament_002_d
DDS only:407: textures/darkmod/stone/trim/ornament_003_ed
DDS only:408: textures/darkmod/stone/trim/ornament_003_d
DDS only:409: textures/darkmod/stone/trim/ornament_003_local
DDS only:420: textures/darkmod/stone/trim/ornament_003_d
DDS only:431: textures/darkmod/stone/trim/ornament_004_ed
DDS only:432: textures/darkmod/stone/trim/ornament_004_d
DDS only:433: textures/darkmod/stone/trim/ornament_004_local
DDS only:444: textures/darkmod/stone/trim/ornament_004_d
DDS only:455: textures/darkmod/stone/trim/ornament_005_ed
DDS only:456: textures/darkmod/stone/trim/ornament_005_d
DDS only:457: textures/darkmod/stone/trim/ornament_005_local
DDS only:468: textures/darkmod/stone/trim/ornament_005_d
DDS only:479: textures/darkmod/stone/trim/ornament_006_ed
DDS only:480: textures/darkmod/stone/floor/rough_008_d
Missing:481: textures/darkmod/stone/trim/ornament_006_local, 
DDS only:492: textures/darkmod/stone/floor/rough_008_d
DDS only:503: textures/darkmod/stone/trim/ornament_007_ed
DDS only:504: textures/darkmod/stone/floor/rough_008_d
Missing:505: textures/darkmod/stone/trim/ornament_007_local, 
DDS only:516: textures/darkmod/stone/floor/rough_008_d
DDS only:527: textures/darkmod/stone/trim/ornament_008_ed
DDS only:528: textures/darkmod/stone/floor/rough_008_d
Missing:529: textures/darkmod/stone/trim/ornament_008_local, 
DDS only:540: textures/darkmod/stone/floor/rough_008_d
DDS only:551: textures/darkmod/stone/trim/ornament_009_ed
DDS only:552: textures/darkmod/stone/trim/ornament_009_d
DDS only:553: textures/darkmod/stone/trim/ornament_009_local
DDS only:564: textures/darkmod/stone/trim/ornament_009_d
DDS only:575: textures/darkmod/stone/trim/ornament_010_ed
DDS only:576: textures/darkmod/stone/floor/rough_005_d
Missing:577: textures/darkmod/stone/trim/ornament_010_local,
DDS only:588: textures/darkmod/stone/floor/rough_005_d
DDS only:599: textures/darkmod/stone/trim/ornament_011_bones_ed
DDS only:603: textures/darkmod/stone/floor/rough_005_d
DDS only:607: textures/darkmod/stone/trim/ornament_011_bones_local
DDS only:618: textures/darkmod/stone/floor/rough_007_d
DDS only:629: textures/darkmod/stone/trim/ornament_012_snakes_ed
DDS only:633: textures/darkmod/stone/floor/rough_005_d
DDS only:637: textures/darkmod/stone/trim/ornament_012_snakes_local
DDS only:648: textures/darkmod/stone/floor/rough_005_d
DDS only:659: textures/darkmod/stone/trim/ornament_013_bones_tile_ed
DDS only:662: textures/darkmod/stone/floor/rough_009_d
DDS only:665: textures/darkmod/stone/trim/ornament_013_bones_tile_local
DDS only:676: textures/darkmod/stone/floor/rough_009_d
DDS only:687: textures/darkmod/stone/trim/ornament_013_bones_tile_right_ed
DDS only:688: textures/darkmod/stone/floor/rough_009_d
DDS only:689: textures/darkmod/stone/trim/ornament_013_bones_tile_right_local
DDS only:700: textures/darkmod/stone/floor/rough_009_d
DDS only:711: textures/darkmod/stone/trim/ornament_013_bones_tile_left_ed
DDS only:712: textures/darkmod/stone/floor/rough_009_d
DDS only:713: textures/darkmod/stone/trim/ornament_013_bones_tile_left_local
DDS only:724: textures/darkmod/stone/floor/rough_009_d
DDS only:734: textures/darkmod/stone/trim/ornament_014_skull_ed
DDS only:735: textures/darkmod/stone/floor/rough_009_d
DDS only:736: textures/darkmod/stone/trim/ornament_014_skull_local
DDS only:747: textures/darkmod/stone/floor/rough_009_d
DDS only:758: textures/darkmod/stone/trim/trim_001_ed
DDS only:759: textures/darkmod/stone/trim/trim_001_d
DDS only:760: textures/darkmod/stone/trim/trim_001_local
DDS only:771: textures/darkmod/stone/trim/trim_001_d
DDS only:782: textures/darkmod/stone/trim/trim_002_ed
DDS only:783: textures/darkmod/stone/trim/trim_002_d
DDS only:784: textures/darkmod/stone/trim/trim_002_local
DDS only:795: textures/darkmod/stone/trim/trim_002_d
DDS only:806: textures/darkmod/stone/trim/trim_003_ed
DDS only:807: textures/darkmod/stone/trim/trim_003_d
DDS only:808: textures/darkmod/stone/trim/trim_003_local
DDS only:819: textures/darkmod/stone/trim/trim_003_d
DDS only:3: models/darkmod/props/textures/coinsuv2_d
DDS only:7: models/darkmod/props/textures/coinsuv2_d
DDS only:19: models/darkmod/props/textures/coinsuv2_d
DDS only:32: models/darkmod/props/textures/book_cover1
DDS only:33: models/darkmod/props/textures/book_cover1_local
DDS only:34: models/darkmod/props/textures/book_cover1_s
DDS only:38: models/darkmod/props/textures/book_cover1
DDS only:50: models/darkmod/props/textures/book_cover1
DDS only:66: models/darkmod/props/textures/pages1
DDS only:72: models/darkmod/props/textures/pages1
DDS only:84: models/darkmod/props/textures/pages1
DDS only:98: models/darkmod/props/textures/vase1_d
DDS only:99: models/darkmod/props/textures/vase1_s
DDS only:103: models/darkmod/props/textures/vase1_d
DDS only:115: models/darkmod/props/textures/vase1_d
DDS only:131: models/darkmod/props/textures/orchid_d
DDS only:134: models/darkmod/props/textures/orchid_s
DDS only:138: models/darkmod/props/textures/orchid_d
DDS only:151: models/darkmod/props/textures/orchid_d
DDS only:166: models/darkmod/props/textures/pot_d
DDS only:167: models/darkmod/props/textures/pot_s
DDS only:168: models/darkmod/props/textures/pot_local
DDS only:172: models/darkmod/props/textures/pot_d
DDS only:184: models/darkmod/props/textures/pot_d
DDS only:11: models/md5/chars/pagans/pagan_female/pagan_female_d
DDS only:15: models/md5/chars/pagans/pagan_female/pagan_female_local
DDS only:25: models/md5/chars/pagans/pagan_female/pagan_female_d
DDS only:39: models/md5/chars/pagans/pagan_female/pagan_female_bare
DDS only:43: models/md5/chars/pagans/pagan_female/pagan_female_local
DDS only:53: models/md5/chars/pagans/pagan_female/pagan_female_bare
DDS only:64: models/md5/chars/pagans/pagan_female/pagan_female_head

materials/tdm_ai_pagans.mtr
Missing:68: models/md5/chars/pagans/pagan_female/pagan_female_head_local
DDS only:78: models/md5/chars/pagans/pagan_female/pagan_female_head
DDS only:91: models/md5/chars/pagans/pagan_female/pagan_female_cloth
DDS only:95: models/md5/chars/pagans/pagan_female/pagan_female_cloth_local
DDS only:106: models/md5/chars/pagans/pagan_female/pagan_female_cloth
DDS only:7: textures/darkmod/sky/dm_sqsky/dm_sqsky
DDS only:9: textures/darkmod/metal/gen/gen_default_framed_d
DDS only:10: textures/darkmod/metal/gen/gen_default_framed_d
DDS only:11: textures/darkmod/metal/gen/gen_default_framed_local
DDS only:22: textures/darkmod/metal/gen/gen_default_framed_d
DDS only:31: textures/darkmod/metal/gen/bronze_001_d
DDS only:32: textures/darkmod/metal/gen/bronze_001_d
DDS only:33: textures/darkmod/metal/gen/bronze_001_local
DDS only:34: textures/darkmod/metal/gen/bronze_001_s
DDS only:45: textures/darkmod/metal/gen/bronze_001_d
DDS only:54: textures/darkmod/metal/gen/brushedmetal_001_d
DDS only:55: textures/darkmod/metal/gen/brushedmetal_001_d
DDS only:56: textures/darkmod/metal/gen/brushedmetal_001_local
DDS only:57: textures/darkmod/metal/gen/brushedmetal_001_s
DDS only:67: textures/darkmod/metal/gen/brushedmetal_001_d
DDS only:76: textures/darkmod/metal/gen/copper_001_d
DDS only:77: textures/darkmod/metal/gen/copper_001_d
DDS only:78: textures/darkmod/metal/gen/copper_001_local
DDS only:79: textures/darkmod/metal/gen/copper_001_s
DDS only:89: textures/darkmod/metal/gen/copper_001_d
DDS only:98: textures/darkmod/metal/gen/gold_001_d
DDS only:99: textures/darkmod/metal/gen/gold_001_d
DDS only:100: textures/darkmod/metal/gen/gold_001_local
DDS only:101: textures/darkmod/metal/gen/gold_001_s
DDS only:111: textures/darkmod/metal/gen/gold_001_d

materials/tdm_gen_metal.mtr
Missing:129: textures/darkmod/metal/gen/goldloot_001_d
Missing:130: textures/darkmod/metal/gen/goldloot_001_d
Missing:131: textures/darkmod/metal/gen/goldloot_001_local
Missing:132: textures/darkmod/metal/gen/goldloot_001_s
Missing:142: textures/darkmod/metal/gen/goldloot_001_d
DDS only:160: textures/darkmod/metal/gen/iron_001_d
DDS only:161: textures/darkmod/metal/gen/iron_001_d
DDS only:162: textures/darkmod/metal/gen/iron_001_local
DDS only:163: textures/darkmod/metal/gen/iron_001_s
DDS only:173: textures/darkmod/metal/gen/iron_001_d
DDS only:182: textures/darkmod/metal/gen/iron_002_d
DDS only:183: textures/darkmod/metal/gen/iron_002_d
Missing:184: textures/darkmod/metal/gen/iron_002_local
Missing:185: textures/darkmod/metal/gen/iron_002_s
DDS only:195: textures/darkmod/metal/gen/iron_002_d
DDS only:204: textures/darkmod/metal/gen/paintedmetal_001_d
DDS only:205: textures/darkmod/metal/gen/paintedmetal_001_d
DDS only:206: textures/darkmod/metal/gen/paintedmetal_001_local
DDS only:207: textures/darkmod/metal/gen/paintedmetal_001_s
DDS only:217: textures/darkmod/metal/gen/paintedmetal_001_d
DDS only:226: textures/darkmod/metal/gen/rust_001_d
DDS only:227: textures/darkmod/metal/gen/rust_001_d
DDS only:228: textures/darkmod/metal/gen/rust_001_local
DDS only:229: textures/darkmod/metal/gen/rust_001_s
DDS only:239: textures/darkmod/metal/gen/rust_001_d
DDS only:248: textures/darkmod/metal/gen/silver_001_d
DDS only:249: textures/darkmod/metal/gen/silver_001_d
DDS only:250: textures/darkmod/metal/gen/silver_001_local
DDS only:251: textures/darkmod/metal/gen/silver_001_s
DDS only:261: textures/darkmod/metal/gen/silver_001_d
DDS only:11: models/darkmod/props/textures/barrel01_d
DDS only:12: models/darkmod/props/textures/barrel01_local
DDS only:13: models/darkmod/props/textures/barrel01_s
DDS only:23: models/darkmod/props/textures/barrel01_d
DDS only:35: models/darkmod/props/textures/crate01_d
DDS only:36: models/darkmod/props/textures/crate01_local
DDS only:37: models/darkmod/props/textures/crate01_s
DDS only:47: models/darkmod/props/textures/crate01_d
DDS only:56: models/darkmod/props/textures/crate02_d
DDS only:57: models/darkmod/props/textures/crate02_local
DDS only:58: models/darkmod/props/textures/crate01_s
DDS only:68: models/darkmod/props/textures/crate02_d
DDS only:77: models/darkmod/props/textures/crate03_d
DDS only:78: models/darkmod/props/textures/crate03_local
DDS only:88: models/darkmod/props/textures/crate03_d
DDS only:102: models/darkmod/props/textures/barrell_large_d
DDS only:103: models/darkmod/props/textures/barrell_large_n
DDS only:113: models/darkmod/props/textures/barrell_large_d
DDS only:123: models/darkmod/props/textures/bucket_metal_d
DDS only:124: models/darkmod/props/textures/bucket_metal_local
DDS only:125: models/darkmod/props/textures/bucket_metal_s
DDS only:135: models/darkmod/props/textures/bucket_metal_d
DDS only:144: models/darkmod/props/textures/bucket_wood_d
DDS only:145: models/darkmod/props/textures/bucket_wood_local
DDS only:155: models/darkmod/props/textures/bucket_wood_d
DDS only:165: models/darkmod/props/textures/bucket_wooden_d
DDS only:166: models/darkmod/props/textures/bucket_wooden_local
DDS only:176: models/darkmod/props/textures/bucket_wooden_d
